open,high,low,close,volume,trade_count,vwap,date
0.99960325,1.00003815,0.999474,0.9997,0.0,0.0,0.0,2023-07-01 00:00:00+00:00
0.999847,1.000006,0.9995755,1.000006,0.0,0.0,0.0,2023-07-01 00:05:00+00:00
0.99977513,1.0000767,0.9995275,0.9996675,0.0,0.0,0.0,2023-07-01 00:10:00+00:00
1.00001396,1.00004,0.999551585,0.99967845,0.0,0.0,0.0,2023-07-01 00:15:00+00:00
0.9995962,1.000056965,0.99959569,0.9998775,0.0,0.0,0.0,2023-07-01 00:20:00+00:00
0.99961504,1.00009755,0.99955034,1.0,0.0,0.0,0.0,2023-07-01 00:25:00+00:00
0.9997605,1.00001381,0.99949725,0.99979355,0.0,0.0,0.0,2023-07-01 00:30:00+00:00
0.999654045,1.00002515,0.99780603,0.9999729,0.007772369,1.0,0.997806,2023-07-01 00:35:00+00:00
0.999845195,1.00006511,0.99955055,0.99955055,0.0,0.0,0.0,2023-07-01 00:40:00+00:00
0.99995157,1.00014856,0.9996366,1.000095,0.0,0.0,0.0,2023-07-01 00:45:00+00:00
0.9999552,1.00006624,0.999682,0.999822,0.0,0.0,0.0,2023-07-01 00:50:00+00:00
1.000094515,1.000094515,0.9996605,0.999844315,0.0,0.0,0.0,2023-07-01 00:55:00+00:00
0.999736635,1.00004,0.999568,0.9997409,0.0,0.0,0.0,2023-07-01 01:00:00+00:00
0.99987175,1.000065,0.9997,0.9999755,0.0,0.0,0.0,2023-07-01 01:05:00+00:00
0.9998185,1.000114,0.999620435,0.9998235,0.0,0.0,0.0,2023-07-01 01:10:00+00:00
0.9996035,1.00005731,0.9996035,0.9998675,0.0,0.0,0.0,2023-07-01 01:15:00+00:00
1.000098,1.000098,0.99962395,0.999792365,0.0,0.0,0.0,2023-07-01 01:20:00+00:00
0.999764475,1.00007129,0.999653865,0.9998515,0.0,0.0,0.0,2023-07-01 01:25:00+00:00
0.99975737,1.00011954,0.9996302,0.99967685,0.0,0.0,0.0,2023-07-01 01:30:00+00:00
1.0000101,1.0000101,0.9995453,0.9996345,0.0,0.0,0.0,2023-07-01 01:35:00+00:00
0.99976872,0.9999563,0.999516,0.999650705,0.0,0.0,0.0,2023-07-01 01:40:00+00:00
0.99998347,0.99998347,0.999485,0.9999505,0.0,0.0,0.0,2023-07-01 01:45:00+00:00
0.99969265,0.999805,0.9994,0.999700195,0.0,0.0,0.0,2023-07-01 01:50:00+00:00
0.99980445,0.999897,0.999416435,0.9995695,0.0,0.0,0.0,2023-07-01 01:55:00+00:00
0.9999256,0.9999501,0.999371,0.999371,0.0,0.0,0.0,2023-07-01 02:00:00+00:00
0.999609,0.99993,0.999468,0.9997835,0.0,0.0,0.0,2023-07-01 02:05:00+00:00
