,Return %,Ann. Ret %,Ann. Vol %,Max Drawdown %,R2D Ratio,Win Rate %,Num Trades,Optimal Params
MacdAdxTrendFollowing_USDTUSD_5min,-2.3913302452369942,-4.655864767501095,0.11326430360640069,-2.391330245236989,1.0000000000000022,0.0,603,"['adx_window: 11', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 10', 'macd_long_window: 28', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_USDTUSD_15min,-0.5349376908655162,-1.0407014160655703,0.05878354924304279,-0.5349376908655112,1.0000000000000093,0.0,131,"['adx_window: 11', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 12', 'macd_long_window: 24', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_USDTUSD_30min,-0.16308595861106878,-0.3232534037822199,0.036508544694996266,-0.16308595861106445,1.0000000000000266,0.0,41,"['adx_window: 13', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 10', 'macd_long_window: 28', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_USDTUSD_60min,-0.13334160909797063,-0.2643356938515473,0.03226270936878663,-0.1337929782979641,0.9966263610711449,0.0,33,"['adx_window: 13', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 12', 'macd_long_window: 24', 'macd_signal_window: 9']"
EmaAdxTrendFollowing_BCHUSD_5min,-0.17630465320145014,-0.2783105012061804,0.9866642082178778,-0.9153073023049352,0.19261799043608432,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 10', 'ema_long_window: 100']"
EmaAdxTrendFollowing_BCHUSD_15min,-0.1984018188570044,-0.2742257597531106,0.9721532211965419,-0.8962954932347666,0.22135759953557752,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 50']"
EmaAdxTrendFollowing_BCHUSD_30min,-0.21668587123299948,-0.42938070819242835,0.9541642391660256,-0.8116949969830034,0.2669547946438024,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 6', 'ema_long_window: 100']"
EmaAdxTrendFollowing_BCHUSD_60min,-0.19561291668600173,-0.38766315152027886,0.9682323366667798,-0.7961700166860042,0.24569239306476937,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 80']"
EmaAdxTrendFollowing_ETHUSD_5min,0.3487379573390004,0.7312484028719979,0.8284673969990772,-0.6408141175396675,0.5442107902958504,100.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 50']"
EmaAdxTrendFollowing_ETHUSD_15min,0.3660333966840175,0.7311216994604575,0.8283231361094845,-0.6407033930582617,0.5712992948840723,100.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 8', 'ema_long_window: 50']"
EmaAdxTrendFollowing_ETHUSD_30min,0.3661903790120036,0.7277185737990743,0.8282519938520049,-0.4971265357956334,0.7366140260968546,100.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 60']"
EmaAdxTrendFollowing_ETHUSD_60min,0.352944460698287,0.7013497669102531,0.8279649102701119,-0.4943267273643248,0.7139902440236913,100.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 9', 'ema_long_window: 100']"
EmaAdxTrendFollowing_USDTUSD_5min,-0.003422015537705738,0.0006486818197704025,0.01340084739574736,-0.029994754074857966,0.11408713434240558,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 50']"
EmaAdxTrendFollowing_USDTUSD_15min,-0.0038415571305784393,0.000648554560078729,0.013398216240954197,-0.028011297446517425,0.13714313440543793,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 50']"
EmaAdxTrendFollowing_USDTUSD_30min,-0.004361167515057605,-0.008651043465290886,0.01458711465034051,-0.010913901357356703,0.399597483270076,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 9', 'ema_long_window: 80']"
EmaAdxTrendFollowing_USDTUSD_60min,-0.0039175067233154556,0.00064852256280723,0.013397550913433372,-0.010916587611853323,0.35885817643801016,0.0,1,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'ema_short_window: 5', 'ema_long_window: 60']"
